date,revenue,expense,income_lain,laba_kotor,laba_bersih
2026-08-26,313000.0,0.0,0.0,313000.0,313000.0
2026-08-27,713500.0,0.0,0.0,713500.0,713500.0
2026-08-28,489000.0,0.0,0.0,489000.0,489000.0
2026-08-29,353500.0,0.0,0.0,353500.0,353500.0
2026-08-30,150000.0,600000.0,0.0,-450000.0,-450000.0
2026-08-31,269500.0,0.0,0.0,269500.0,269500.0
2026-09-01,100000.0,0.0,0.0,100000.0,100000.0
2026-09-02,45500.0,350000.0,0.0,-304500.0,-304500.0
2026-09-03,225000.0,0.0,0.0,225000.0,225000.0
2026-09-04,360500.0,0.0,500000.0,360500.0,860500.0
2026-09-05,212500.0,0.0,0.0,212500.0,212500.0
2026-09-07,317500.0,0.0,450000.0,317500.0,767500.0
2026-09-08,647500.0,15000.0,0.0,632500.0,632500.0
2026-09-09,498500.0,0.0,0.0,498500.0,498500.0
2026-09-10,455000.0,0.0,0.0,455000.0,455000.0
2026-09-12,0.0,500000.0,0.0,-500000.0,-500000.0
2026-09-13,0.0,1500000.0,0.0,-1500000.0,-1500000.0
2026-09-14,6000.0,0.0,0.0,6000.0,6000.0
2026-09-15,220500.0,0.0,0.0,220500.0,220500.0
2026-09-16,268500.0,50000.0,0.0,218500.0,218500.0
2026-09-17,231500.0,0.0,0.0,231500.0,231500.0
2026-09-18,805500.0,0.0,0.0,805500.0,805500.0
2026-09-19,42500.0,150000.0,0.0,-107500.0,-107500.0
2026-09-20,4500.0,0.0,0.0,4500.0,4500.0
2026-09-21,538500.0,0.0,0.0,538500.0,538500.0
2026-09-22,31000.0,0.0,0.0,31000.0,31000.0
2026-09-23,328000.0,0.0,0.0,328000.0,328000.0
2026-09-24,77000.0,0.0,0.0,77000.0,77000.0
2026-09-25,28000.0,0.0,0.0,28000.0,28000.0
